"index";"series_name";"network";"season";"title";"imdb";"engagement";"date_aired";"run_time";"format";"monster_name";"monster_gender";"monster_type";"monster_subtype";"monster_species";"monster_real";"monster_amount";"trap_work_first";"setting_terrain";"setting_country_state";"suspects_amount";"culprit_gender";"motive";"door_gag";"number_of_snacks";"split_up";"another_mystery";"set_a_trap";"jeepers";"jinkies";"my_glasses";"just_about_wrapped_up";"zoinks";"groovy";"scooby_doo_where_are_you";"rooby_rooby_roo";"caught_by";"captured";"unmasked";"guest_stars"
1;"Scooby Doo, Where Are You!";"CBS";"1";"What a Night for a Knight";8.1;556;"1969-09-13";21;"TV Series";"Black Knight";"Male";"Possessed Object";"Suit";"Object";"FALSE";1;"";"Urban";"United States";2;"Male";"Theft";"FALSE";"2";1;1;0;0;0;1;0;1;0;0;1;"Shaggy, Scooby";"";"Scooby";""
2;"Scooby Doo, Where Are You!";"CBS";"1";"A Clue for Scooby Doo";8.1;479;"1969-09-20";22;"TV Series";"Ghost of Cptn. Cuttler";"Male";"Ghost";"Suit";"Human";"FALSE";1;"FALSE";"Coast";"United States";2;"Male";"Theft";"FALSE";"1";0;0;0;0;0;0;0;3;0;1;0;"Shaggy";"Fred, Daphnie, Velma";"Fred";""
3;"Scooby Doo, Where Are You!";"CBS";"1";"Hassle in the Castle";8.0;455;"1969-09-27";21;"TV Series";"Phantom";"Male";"Ghost";"Phantom";"Human";"FALSE";1;"FALSE";"Island";"United States";0;"Male";"Treasure";"FALSE";"3";0;0;0;0;0;0;0;1;2;0;0;"Scooby";"";"Fred";""
4;"Scooby Doo, Where Are You!";"CBS";"1";"Mine Your Own Business";7.8;426;"1969-10-04";21;"TV Series";"Miner 49'er";"Male";"Ancient";"Miner";"Human";"FALSE";1;"TRUE";"Cave";"California";2;"Male";"Natural Resource";"FALSE";"2";1;0;0;0;0;0;0;2;1;0;0;"Fred";"";"Fred";""
5;"Scooby Doo, Where Are You!";"CBS";"1";"Decoy for a Dognapper";7.5;391;"1969-10-11";21;"TV Series";"Indian Witch Doctor";"Female";"Ancient";"Witch Doctor";"Human";"FALSE";1;"";"Desert";"United States";1;"Male";"Competition";"FALSE";"2";0;1;0;0;0;1;0;0;0;1;0;"Scooby";"Scooby";"Scooby";""
6;"Scooby Doo, Where Are You!";"CBS";"1";"What the Hex Going On?";8.4;384;"1969-10-18";21;"TV Series";"Ghost of Elias Kingston";"Male";"Ghost";"Phantom";"Human";"FALSE";1;"TRUE";"Urban";"United States";2;"Male";"Extortion";"FALSE";"4";0;0;0;1;0;0;0;2;0;0;1;"Fred";"";"Fred";""
7;"Scooby Doo, Where Are You!";"CBS";"1";"Never Ape an Ape Man";7.6;358;"1969-10-25";21;"TV Series";"Ape Man";"Male";"Animal";"Half-Human";"Ape";"FALSE";1;"FALSE";"Desert";"United States";1;"Male";"Competition";"FALSE";"4";1;0;1;0;0;0;0;1;1;0;1;"Fred";"";"Shaggy";""
8;"Scooby Doo, Where Are You!";"CBS";"1";"Foul Play in Funland";8.2;358;"1969-11-01";21;"TV Series";"Charlie the Robot";"Male";"Mechanical";"Humanoid";"Robot";"FALSE";1;"FALSE";"Urban";"United States";2;"Female";"Safety";"TRUE";"0";0;0;1;0;0;1;0;0;0;1;1;"";"";"";""
9;"Scooby Doo, Where Are You!";"CBS";"1";"The Backstage Rage";8.1;371;"1969-11-08";21;"TV Series";"Puppet Master";"Male";"Ghost";"Pupeteer";"Human";"FALSE";1;"";"Urban";"United States";1;"Male";"Counterfeit";"FALSE";"1";0;0;0;0;0;0;0;0;0;0;1;"Shaggy";"";"";""
10;"Scooby Doo, Where Are You!";"CBS";"1";"Bedlam in the Big Top";8.0;346;"1969-11-15";21;"TV Series";"Ghost Clown";"Male";"Ghost";"Clown";"Human";"FALSE";1;"FALSE";"Forest";"United States";1;"Male";"Competition";"FALSE";"0";0;0;0;0;0;0;0;0;0;2;0;"Shaggy, Scooby";"Daphnie, Shaggy, Scooby";"";""
